Id,questionName,questionAnswerA,questionAnswerB,questionAnswerC,questionAnswerD,correctAnswer,questionNumber,type,duration
1,What was the significance of D-Day in World War II?,"It was a major turning point in the war, favoring the Allies.",It marked the start of the war.,It led to the surrender of Nazi Germany.,It took place in the Pacific theater of the war.,A,1,Audio,
2,"What was the codename for the Allied invasion of Nazi-occupied France on June 6, 1944?",Operation Barbarossa,Operation Overlord,Operation Market Garden,Operation Torch,B,1,Audio,
3,How many troops from various Allied nations were involved in the massive amphibious assault on the beaches of Normandy during D-Day?,"Over 150,000 troops","Approximately 50,000 troops","Less than 10,000 troops","Exactly 250,000 troops",A,1,Audio,
4,What was the outcome of the nighttime skirmish during the Battle of Karansebes in 1788?,Utter confusion and defeat among the Austrian troops.,An overwhelming victory for the Austrian troops.,A surprise attack by the Turkish forces.,A ceasefire and peaceful resolution.,A,2,Audio,
5,What unusual event is said to have triggered the battle during the nighttime skirmish?,A quarrel over a barrel of snaps (alcoholic beverages).,A disagreement over food supplies.,A sudden change in weather conditions.,Miscommunication among the troops.,A,2,Audio,
6,What does the text suggest about the Battle of Karansebes in 1788?,It showcased the discipline and unity of the Austrian troops.,It was a well-documented and celebrated historical event.,It serves as an example of unexpected and absurd events in history.,It led to a significant shift in the outcome of the Austro-Turkish War.,C,2,Audio,
7,"What caused the ""Year Without a Summer"" in 1816, leading to global climate anomalies?",Human industrial activity,Massive forest fires,Intense solar radiation,A volcanic eruption in Indonesia,D,3,Audio,
8,"What were some of the consequences of the ""Year Without a Summer"" mentioned in the text?",Increased agricultural productivity,Widespread crop failures and food shortages,Unusually warm temperatures worldwide,A significant boost in tourism,B,3,Audio,
9,"How did the ""Year Without a Summer"" impact Mary Shelley and her literary work?","She wrote the novel ""Frankenstein"" while confined indoors due to unseasonable weather.",It inspired her to write a travelogue about her experiences.,It led to her decision to travel to a warmer climate.,It had no influence on her writing.,A,3,Audio,
10,What was the primary goal of the military campaign in the Emu War of 1932?,To protect crops from emu population damage,To capture emus for scientific research,To establish a new emu habitat,To study emu behavior in their natural environment,A,4,Audio,
11,"Why did the soldiers armed with machine guns struggle to control the emu population, as mentioned in the text?",The emus were too small and difficult to target.,The emus were peaceful and cooperative.,The emus were well-organized and had their own military.,Emus' speed and agility made them difficult to harm.,D,4,Audio,
12,"What is the main lesson learned from the Emu War, according to the text?",The potential for emus to be domesticated as farm animals,The need for more advanced weaponry to deal with emu populations,The importance of a well-organized military strategy,The unpredictability of nature and the challenges of human intervention in ecological matters,D,4,Audio,
13,What was the most perplexing aspect of the Dancing Plague of 1518 in Strasbourg?,The duration of the phenomenon,The lack of music during the dancing,The participation of only a few individuals,The organized nature of the dances,A,5,Audio,
